,total_sqft,bhk,sq_m,baths,Location,prices_lakh,area_ Built-up Area,area_ Carpet Area,area_ Plot Area,area_ Super built-up Area,price_per_sqft
201,968.0,3.0,90,3.0,other,115.0,0,0,0,1,11880.17
202,900.0,2.0,84,2.0,other,110.0,0,0,0,1,12222.22
204,450.0,1.0,42,1.0,other,15.0,0,1,0,0,3333.33
205,445.0,1.0,41,1.0,other,12.0,0,1,0,0,2696.63
206,355.0,1.0,33,1.0,other,18.0,0,0,0,1,5070.42
208,460.0,1.0,43,1.0,other,21.0,0,1,0,0,4565.22
209,600.0,2.0,56,2.0,other,43.0,1,0,0,0,7166.67
216,445.0,1.0,41,2.0,other,22.5,0,1,0,0,5056.18
217,500.0,1.0,46,1.0,other,28.0,0,1,0,0,5600.0
221,688.0,2.0,64,2.0,other,67.0,0,1,0,0,9738.37
224,910.0,2.0,85,2.0,other,87.25,0,1,0,0,9587.91
226,360.0,1.0,33,1.0,other,17.0,0,0,0,1,4722.22
227,975.0,2.0,91,2.0,other,110.0,1,0,0,0,11282.05
232,968.0,1.0,90,1.0,other,275.0,0,0,1,0,28409.09
234,900.0,2.0,84,1.0,other,135.0,1,0,0,0,15000.0
235,450.0,1.0,42,1.0,other,51.0,0,0,0,1,11333.33
237,668.0,2.0,62,2.0,other,82.0,0,1,0,0,12275.45
238,960.0,2.0,89,1.0,other,95.0,0,1,0,0,9895.83
239,858.0,2.0,80,2.0,other,140.0,0,1,0,0,16317.02
240,945.0,2.0,88,2.0,other,85.0,0,1,0,0,8994.71
242,720.0,2.0,67,2.0,other,115.0,0,1,0,0,15972.22
246,980.0,2.0,91,2.0,other,95.0,0,1,0,0,9693.88
248,900.0,2.0,84,2.0,other,125.0,0,1,0,0,13888.89
249,360.0,1.0,33,1.0,other,25.0,0,0,0,1,6944.44
250,356.0,1.0,33,1.0,other,28.0,0,1,0,0,7865.17
253,840.0,2.0,78,2.0,other,71.0,1,0,0,0,8452.38
254,900.0,2.0,84,2.0,other,95.0,0,1,0,0,10555.56
255,396.0,1.0,37,1.0,other,15.0,1,0,0,0,3787.88
256,900.0,3.0,84,2.0,other,80.0,0,1,0,0,8888.89
257,650.0,2.0,60,1.0,other,57.0,0,0,0,1,8769.23
259,450.0,1.0,42,1.0,other,18.0,0,1,0,0,4000.0
261,970.0,2.0,90,2.0,other,105.0,0,1,0,0,10824.74
267,850.0,2.0,79,1.0,other,110.0,0,1,0,0,12941.18
268,800.0,2.0,74,2.0,other,125.0,0,1,0,0,15625.0
271,650.0,1.0,60,2.0,other,69.0,0,0,0,1,10615.38
272,366.0,1.0,34,1.0,other,20.0,0,0,0,1,5464.48
273,800.0,1.0,74,2.0,other,95.0,0,1,0,0,11875.0
274,500.0,1.0,46,1.0,other,100.0,0,0,0,1,20000.0
276,900.0,2.0,84,1.0,other,99.0,1,0,0,0,11000.0
277,500.0,1.0,46,1.0,other,53.0,1,0,0,0,10600.0
278,473.0,1.0,44,1.0,other,21.5,0,0,0,1,4545.45
279,980.0,2.0,91,2.0,other,120.0,0,1,0,0,12244.9
280,648.0,2.0,60,2.0,other,70.0,0,1,0,0,10802.47
281,650.0,2.0,60,2.0,other,80.0,0,1,0,0,12307.69
283,850.0,2.0,79,2.0,other,110.0,0,1,0,0,12941.18
284,669.0,2.0,62,2.0,other,78.0,0,1,0,0,11659.19
285,490.0,1.0,46,1.0,other,23.0,0,1,0,0,4693.88
288,650.0,1.0,60,1.0,other,75.0,0,0,0,1,11538.46
