,total_sqft,bhk,baths,prices_lakh,area_ Built-up Area,area_ Carpet Area,area_ Plot Area,area_ Super built-up Area,price_per_sqft,Burari,Dilshad Colony,Dilshad Garden,Dwarka Mor,Hari Nagar,Laxmi Nagar,Mahavir Enclave,Mehrauli,Mohan Garden,Om Vihar,Paschim Vihar,Pitampura,Sector 16 Rohini,Sector 22 Rohini,Shahadra,Tilak Nagar,Uttam Nagar,Vikas Puri,Vishnu Garden
71,325.0,1.0,1.0,18.5,0,1,0,0,5692.31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,950.0,2.0,2.0,37.0,0,0,0,1,3894.74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73,950.0,2.0,2.0,37.0,1,0,0,0,3894.74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74,650.0,2.0,2.0,35.0,0,1,0,0,5384.62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
75,990.0,2.0,2.0,45.0,1,0,0,0,4545.45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76,450.0,1.0,2.0,16.5,0,1,0,0,3666.67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,900.0,2.0,2.0,35.0,0,1,0,0,3888.89,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78,650.0,2.0,1.0,25.0,0,0,0,1,3846.15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79,900.0,2.0,2.0,32.0,0,0,0,1,3555.56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,800.0,2.0,2.0,35.0,0,1,0,0,4375.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,947.0,3.0,2.0,48.0,0,1,0,0,5068.64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,900.0,3.0,2.0,38.5,0,1,0,0,4277.78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,900.0,3.0,2.0,45.0,0,1,0,0,5000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,900.0,3.0,2.0,38.0,1,0,0,0,4222.22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
